code_module,code_presentation,id_student,sum_click,date,studied_credits,num_of_prev_attempts,module_presentation_length,final_result
DDD,2013B,554587,68,3,60,0,240,Withdrawn
GGG,2013J,286160,1183,71,30,0,261,Distinction
BBB,2014J,581877,708,30,60,0,262,Pass
EEE,2013J,573336,2018,78,60,0,268,Pass
CCC,2014J,653352,76,3,90,0,269,Withdrawn
AAA,2013J,281250,130,15,60,0,268,Fail
FFF,2013J,569609,4193,138,120,0,268,Pass
BBB,2013J,549745,290,22,120,0,268,Withdrawn
CCC,2014B,528021,203,14,60,0,241,Withdrawn
FFF,2014B,633732,768,26,60,0,241,Withdrawn
DDD,2013J,126394,1884,110,120,0,261,Pass
CCC,2014J,632260,151,20,60,1,269,Withdrawn
FFF,2014B,2327494,976,31,90,1,241,Pass
EEE,2014B,624153,541,37,60,0,241,Fail
BBB,2014J,648807,1934,67,120,0,262,Pass
BBB,2014B,634286,635,43,60,0,234,Pass
CCC,2014B,385120,722,53,90,0,241,Withdrawn
BBB,2014B,487543,506,64,180,0,234,Pass
FFF,2013J,603733,3568,81,60,0,268,Pass
DDD,2013J,2550054,1455,76,60,0,261,Fail
CCC,2014B,475945,2909,148,90,0,241,Pass
BBB,2014J,698509,1586,96,120,0,262,Distinction
GGG,2014B,620726,455,36,30,0,241,Pass
DDD,2013J,2474436,197,13,120,0,261,Fail
FFF,2014J,675474,1056,35,90,0,269,Pass
FFF,2013J,572304,630,10,60,0,268,Fail
DDD,2014J,570863,799,73,60,0,262,Pass
BBB,2013B,559610,205,14,60,0,240,Fail
BBB,2013J,381669,273,52,60,0,268,Pass
CCC,2014B,532859,100,11,180,0,241,Fail
BBB,2014J,644822,814,33,120,0,262,Pass
FFF,2013B,483179,90,10,120,1,240,Withdrawn
BBB,2014B,529438,188,20,60,0,234,Fail
DDD,2013B,394028,149,12,120,1,240,Fail
GGG,2014B,627901,521,28,30,0,241,Pass
DDD,2014B,611800,8,2,60,0,241,Withdrawn
BBB,2013J,519945,17,3,60,0,268,Withdrawn
CCC,2014B,554205,3878,183,60,0,241,Fail
FFF,2013J,603819,3060,130,60,0,268,Pass
BBB,2014J,675728,126,22,60,0,262,Fail
FFF,2014J,607733,449,20,90,0,269,Withdrawn
GGG,2014J,478886,941,74,30,0,269,Distinction
DDD,2014J,587446,1152,90,90,1,262,Pass
BBB,2014B,579255,337,33,120,1,234,Withdrawn
DDD,2014J,444766,2814,216,120,0,262,Pass
BBB,2013J,552399,969,104,60,0,268,Distinction
BBB,2014J,605770,539,28,120,0,262,Pass
BBB,2014J,691026,2203,91,60,0,262,Pass
FFF,2014J,2128283,4734,135,60,1,269,Pass
FFF,2013J,532121,4224,122,120,0,268,Pass
DDD,2014B,232827,1241,81,60,0,241,Distinction
BBB,2013B,271036,868,56,60,3,240,Pass
FFF,2014J,693373,3265,128,60,0,269,Distinction
CCC,2014B,632107,732,22,30,0,241,Withdrawn
BBB,2014J,1526770,1109,86,90,0,262,Distinction
